Line needed to mimic the original format
Code circo euro	Libelle circo euro	Nom elu	Prenom elu	Date naissance	Code sexe	Code profession	Libelle profession	Libelle mandat	Date debut mandat	Date fin mandat	Motif fin mandat	Nuance politique	ID RNE	ID Europe	ID universel
00	UNIQUE	DE VEYRAC	Christine	06/11/1959	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	DL	29	4347	RNE_0000029
00	UNIQUE	DE VEYRINAS	Françoise	04/09/1943	F	NA	NA	Représentant au Parlement Européen	17/06/2002	12/06/2004	FM	UMP	NA	22860	EUR_0022860
00	UNIQUE	DE VILLIERS	Philippe	25/03/1949	M	NA	NA	Représentant au Parlement Européen	13/06/1999	16/12/1999	DV	RPF	1083	2212	RNE_0001083
00	UNIQUE	DECOURRIÈRE	Francis	22/11/1936	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	UDF	25	2026	RNE_0000025
00	UNIQUE	DESCAMPS	Marie-Hélène	05/07/1938	F	NA	NA	Représentant au Parlement Européen	07/05/2002	12/06/2004	FM	UMP	27	22859	RNE_0000027
00	UNIQUE	DÉSIR	Harlem	25/11/1959	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	28	4318	RNE_0000028
00	UNIQUE	DUHAMEL	Olivier	02/05/1950	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	NA	2314	EUR_0002314
00	UNIQUE	DUTHU	Marie-Françoise	20/10/1946	F	NA	NA	Représentant au Parlement Européen	03/02/2004	12/06/2004	FM	VEC	NA	26190	EUR_0026190
00	UNIQUE	ESCLOPÉ	Alain	18/05/1942	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	CPNT	NA	4420	EUR_0004420
00	UNIQUE	FERREIRA	Anne	18/03/1961	F	NA	NA	Représentant au Parlement Européen	18/12/1999	12/06/2004	FM	SOC	32	5735	RNE_0000032
00	UNIQUE	FLAUTRE	Hélène	29/07/1958	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	VEC	33	4385	RNE_0000033
00	UNIQUE	FONTAINE	Nicole	16/01/1942	F	NA	NA	Représentant au Parlement Européen	13/06/1999	16/06/2002	DV	UDF	838005	945	RNE_0838005
00	UNIQUE	FOURTOU	Janelly	04/02/1939	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	UDF	821668	4336	RNE_0821668
00	UNIQUE	FRAISSE	Geneviève	07/10/1948	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	DVG	NA	4352	EUR_0004352
00	UNIQUE	FRUTEAU	Jean-Claude	06/06/1947	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	870229	4297	RNE_0870229
00	UNIQUE	GAROT	Georges	07/04/1936	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	NA	2313	EUR_0002313
00	UNIQUE	GARRAUD	Marie-France	06/03/1934	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	DVD	NA	4360	EUR_0004360
00	UNIQUE	GILLIG	Marie-Hélène	15/03/1946	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	40	4295	RNE_0000040
00	UNIQUE	GOLLNISCH	Bruno	28/01/1950	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	FN	41	1164	RNE_0000041
00	UNIQUE	GROSSETÊTE	Françoise	17/05/1946	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	DL	1501530	2025	RNE_1501530
00	UNIQUE	GUY-QUINT	Catherine	01/09/1949	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	43	4314	RNE_0000043
00	UNIQUE	HAZAN	Adeline	21/01/1956	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	44	4299	RNE_0000044
00	UNIQUE	HERMANGE	Marie-Thérèse	17/09/1947	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPR	11532	2016	RNE_0011532
00	UNIQUE	HERZOG	Philippe	06/03/1940	M	NA	NA	Représentant au Parlement Européen	01/08/2000	12/06/2004	FM	COM	NA	1167	EUR_0001167
00	UNIQUE	HOLLANDE	François	12/8/1954	M	46	GRANDS CORPS DE L ETAT	Représentant au Parlement Européen	13/6/1999	17/12/1999	DV	SOC	724	4285	RNE_0000724
00	UNIQUE	HORTEFEUX	Brice	11/05/1958	M	NA	NA	Représentant au Parlement Européen	15/09/1999	12/06/2004	FM	RPR	47	5565	RNE_0000047
00	UNIQUE	HUE	Robert	19/10/1946	M	NA	NA	Représentant au Parlement Européen	13/06/1999	31/07/2000	DV	COM	162983	4351	RNE_0162983
00	UNIQUE	ISLER BÉGUIN	Marie Anne	30/06/1956	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	VEC	48	1833	RNE_0000048
00	UNIQUE	JEAN-PIERRE	Thierry	27/07/1955	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	DL	NA	2214	EUR_0002214
00	UNIQUE	KAROUTCHI	Roger	26/08/1951	M	NA	NA	Représentant au Parlement Européen	13/06/1999	31/12/1999	DV	RPR	374	2322	RNE_0000374
00	UNIQUE	KELLER	Fabienne	20/10/1959	F	NA	NA	Représentant au Parlement Européen	17/06/2002	12/06/2004	FM	UDF	31997	22858	RNE_0031997
00	UNIQUE	KRIVINE	Alain	10/07/1941	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	LCR	NA	4403	EUR_0004403
00	UNIQUE	KUNTZ	Florence	09/06/1969	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	NA	4366	EUR_0004366
00	UNIQUE	LAGUILLER	Arlette	18/03/1940	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	LO	NA	4402	EUR_0004402
00	UNIQUE	LAIGNEL	André	04/12/1942	M	NA	NA	Représentant au Parlement Européen	28/03/2001	05/04/2001	DV	SOC	42279	1980	RNE_0042279
00	UNIQUE	LALUMIÈRE	Catherine	03/08/1935	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	PRG	NA	2130	EUR_0002130
00	UNIQUE	LAMASSOURE	Alain	10/02/1944	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	UDF	54	1204	RNE_0000054
00	UNIQUE	LANG	Carl	20/09/1957	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	FN	55	2057	RNE_0000055
00	UNIQUE	LE PEN	Jean-Marie	20/06/1928	M	NA	NA	Représentant au Parlement Européen	13/06/1999	10/04/2003	DV	FN	837980	1023	RNE_0837980
00	UNIQUE	LIENEMANN	Marie-Noëlle	12/07/1951	F	NA	NA	Représentant au Parlement Européen	13/06/1999	27/03/2001	DV	SOC	7014	1708	RNE_0007014
00	UNIQUE	LIPIETZ	Alain	19/09/1947	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	VEC	58	4384	RNE_0000058
00	UNIQUE	MADELIN	Alain	26/03/1946	M	NA	NA	Représentant au Parlement Européen	13/06/1999	16/06/2002	DV	DL	626	1024	RNE_0000626
00	UNIQUE	MARCHIANI	Jean-Charles	06/08/1943	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	NA	4364	EUR_0004364
00	UNIQUE	MARTIN	Hugues	02/01/1942	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPR	60	4341	RNE_0000060
00	UNIQUE	MARTINEZ	Jean-Claude	30/07/1945	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	FN	61	966	RNE_0000061
00	UNIQUE	MATHIEU	Véronique	27/01/1953	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	CPNT	62	4412	RNE_0000062
00	UNIQUE	MONTFORT	Elizabeth	29/06/1954	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	1069587	4362	RNE_1069587
00	UNIQUE	MORILLON	Philippe	24/10/1935	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	UDF	64	4332	RNE_0000064
00	UNIQUE	NAÏR	Sami	23/08/1946	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	MDC	NA	4287	EUR_0004287
00	UNIQUE	NORDMANN	Jean-Thomas	16/02/1946	M	NA	NA	Représentant au Parlement Européen	17/06/2002	12/06/2004	FM	UDF	NA	1194	EUR_0001194
00	UNIQUE	NOVELLI	Hervé	06/03/1949	M	NA	NA	Représentant au Parlement Européen	13/06/1999	16/06/2002	DV	DL	613	4357	RNE_0000613
00	UNIQUE	ONESTA	Gérard	05/08/1960	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	VEC	67	1838	RNE_0000067
00	UNIQUE	PASQUA	Charles	18/04/1927	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	RPF	27835	4359	RNE_0027835
00	UNIQUE	PATRIE	Béatrice	12/05/1957	F	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	MDC	69	4309	RNE_0000069
00	UNIQUE	PIÉTRASANTA	Yves	19/08/1939	M	NA	NA	Représentant au Parlement Européen	13/06/1999	02/02/2004	DV	VEC	1306734	4390	RNE_1306734
00	UNIQUE	POIGNANT	Bernard	19/09/1945	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	71	4311	RNE_0000071
00	UNIQUE	RAYMOND	Michel	11/06/1951	M	NA	NA	Représentant au Parlement Européen	13/06/1999	01/04/2004	DV	CPNT	NA	4411	EUR_0004411
00	UNIQUE	ROCARD	Michel	23/08/1930	M	NA	NA	Représentant au Parlement Européen	13/06/1999	12/06/2004	FM	SOC	73	1977	RNE_0000073
