Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Date de fin de mandat	Annee de fin de mandat	Identifiant fonction	Date de debut de fonction	Annee de debut de fonction	Date de fin de fonction	Annee de fin de fonction	Fonction
000442	M.	Lecanuet	Jean	ANCIEN	47958		02/04/1986		30/09/1986		46554	02/04/1986		30/09/1986		Député
000325	M.	Legaret	Jean	ANCIEN	10423					1958	3558				1958	Député
92031P	M.	Legendre	Jacques	ANCIEN	47984		02/04/1973		01/05/1977		46580	02/04/1973		01/05/1977		Député
92031P	M.	Legendre	Jacques	ANCIEN	47985		03/04/1978		06/05/1978		46581	03/04/1978		06/05/1978		Député
92031P	M.	Legendre	Jacques	ANCIEN	47986		02/04/1986		14/05/1988		46582	02/04/1986		14/05/1988		Député
80024B	M.	Lejeune	André	ANCIEN	47994		02/07/1981		01/04/1986		46590	02/07/1981		01/04/1986		Député
80024B	M.	Lejeune	André	ANCIEN	47995		02/04/1986		14/05/1988		46591	02/04/1986		14/05/1988		Député
80024B	M.	Lejeune	André	ANCIEN	47996		13/06/1988		01/04/1993		46592	13/06/1988		01/04/1993		Député
000206	M.	Lejeune	Max	ANCIEN	9682			1946		1958	3196					Député
11100Y	M.	Lenoir	Jean-Claude	ANCIEN	48021		02/04/1993		21/04/1997		46617	02/04/1993		21/04/1997		Député
11100Y	M.	Lenoir	Jean-Claude	ANCIEN	48022		01/06/1997		18/06/2002		46618	01/06/1997		18/06/2002		Député
11100Y	M.	Lenoir	Jean-Claude	ANCIEN	48023		19/06/2002		19/06/2007		46619	19/06/2002		19/06/2007		Député
