ID Assemblee	Code sexe	Prenom elu	Nom elu	Date naissance	Date deces	Commune de naissance	Departement de naissance	Pays de naissance	Nom profession	Categorie profession	Famille profession
PA425322	Mme	Catherine	Deroche	1953-02-24							
PA425596	Mme	Mireille	Oudit	1945-10-10							
PA426327	M.	André	Reichardt	1949-12-05							
PA426856	Mme	Roselle	Cros	1947-08-27							
PA427304	M.	Joël	Regnault	1949-11-05		Plaisir	Yvelines	France	Exploitant agricole	Agriculteurs exploitants	Agriculteurs exploitants
PA427956	M.	Claude	Léonard	1948-03-11							
PA428	M.	Michel	Bécot	1939-10-10							
PA429832	M.	Hervé	Marseille	1954-08-20							
PA429833	Mme	Frédérique	Espagnac	1972-04-19							
PA429834	Mme	Marie-Annick	Duchêne	1940-08-23							
PA429835	Mme	Hélène	Conway-Mouret	1960-09-13							
PA429836	Mme	Laurence	Cohen	1953-01-15							
PA429837	M.	André	Gattolin	1960-06-24							
PA429838	M.	René	Vandierendonck	1951-04-01							
PA429839	M.	Michel	Le Scouarnec	1949-07-12							
PA429840	M.	Thani	Mohamed Soilihi	1972-06-20							
PA429841	M.	Dominique	Watrin	1953-06-14							
PA345916	Mme	Sophie	Primas	1962-06-07							
PA429843	Mme	Natacha	Bouchart	1963-05-29							
PA429844	Mme	Michelle	Meunier	1956-01-24							
PA429845	M.	Ronan	Dantec	1963-08-05							
PA429846	M.	Christophe	Béchu	1974-06-11							
PA429847	Mme	Chantal	Jouanno	1969-07-12							
PA429848	M.	Henri	Tandonnet	1949-12-14							
PA429849	M.	Christian	Namy	1938-10-19							
PA429850	M.	Jean	Germain	1947-09-11	2015-04-07						
PA429851	M.	René-Paul	Savary	1953-01-03							
PA429852	M.	Yannick	Vaugrenard	1950-06-25							
PA429853	M.	Hilarion	Vendegou	1941-09-04	2020-01-11						
PA429854	M.	Pierre	Charon	1951-03-01							
PA429855	M.	Maurice	Antiste	1953-06-22							
PA429856	M.	Abdourahamane	Soilihi	1959-10-04							
PA429857	Mme	Leila	Aïchi	1970-05-14							
PA429858	M.	Philippe	Bas	1958-07-20							
PA429859	M.	Michel	Vergoz	1950-01-10							
PA429860	M.	Jean-Yves	Leconte	1966-10-31							
PA429861	M.	Maurice	Vincent	1955-09-20							
PA429862	Mme	Caroline	Cayeux	1948-11-01							
PA429863	M.	Jean-Jacques	Lasserre	1944-03-11							
PA429864	M.	Dominique	Bailly	1960-01-02							
PA429865	M.	Philippe	Kaltenbach	1966-01-09							
PA429866	M.	Joël	Labbé	1952-10-18							
PA429867	M.	Vincent	Éblé	1957-10-15							
PA429868	Mme	Danielle	Michel	1947-04-03							
PA429869	M.	Vincent	Delahaye	1959-08-23							
PA429870	M.	Jean-Noël	Cardoux	1946-12-18							
PA429871	M.	Christian	Favier	1951-02-20							
PA429872	M.	Jacques	Chiron	1949-10-03							
PA429873	Mme	Corinne	Bouchoux	1964-01-05							
PA429874	M.	Michel	Savin	1958-11-25							
PA429875	M.	Jean-François	Husson	1961-04-17							
PA429876	M.	Pierre	Camani	1952-02-19							
PA429877	M.	Michel	Fontaine	1952-05-06							
PA429878	Mme	Karine	Claireaux	1963-11-15							
PA429879	M.	Philippe	Esnol	1954-04-02							
PA429881	Mme	Aline	Archimbaud	1948-11-02							
PA429882	M.	Félix	Desplan	1943-02-22							
PA429883	M.	Gilbert	Roger	1953-11-09							
PA429884	M.	Vincent	Capo-Canellas	1967-05-04							
PA429885	M.	Jean-Vincent	Placé	1968-03-12							
PA429886	Mme	Cécile	Cukierman	1976-04-26							
PA429887	M.	Joël	Guerriau	1957-11-09							
PA429888	M.	Jacques-Bernard	Magner	1952-06-01							
PA429889	Mme	Laurence	Rossignol	1957-12-22							
PA429890	M.	Alain	Bertrand	1951-02-23							
PA429891	Mme	Esther	Benbassa	1950-03-27							
PA429893	M.	Luc	Carvounas	1971-06-08		charenton le pont	Val-de-Marne	France	Sans profession déclarée	Sans profession déclarée	Sans profession déclarée
PA429894	M.	Éric	Bocquet	1957-11-08							
PA429895	M.	Jean-Claude	Requier	1947-10-04							
PA429896	M.	Gérard	Roche	1942-12-29							
PA429897	Mme	Delphine	Bataille	1969-09-16							
PA430	M.	Pierre	Bédier	1957-09-30		Mont-de-Marsan	Landes	France	Chef d'entreprise	Chefs d'entreprise de 10 salariés ou plus	Artisans, commerçants et chefs d'entreprise
PA437	M.	Jean-Pierre	Bel	1951-12-30							
PA441	Mme	Huguette	Bello	1950-08-24		Ravine-des-Cabris	Réunion	France	Directrice d'école maternelle	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA445	M.	Claude	Belot	1936-07-11							
PA448	Mme	Monique	Cerisier-ben Guiga	1942-06-20							
PA463	Mme	Maryse	Bergé-Lavigne	1941-01-29							
PA475	M.	Jean-Louis	Bernard	1938-03-31		Saulieu	Côte-d'Or		Chirurgien retraité	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA476	M.	Pierre	Bernard-Reymond	1944-01-16		Gap	Hautes-Alpes				
PA477	M.	Daniel	Bernardet	1927-06-07	2007-11-21	Lourouer-Saint-Laurent	Indre		Conseiller en gestion		
PA479	M.	Marc	Bernier	1943-04-19		Le Mans	Sarthe	France	Chirurgien-dentiste	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA481	M.	Michel	Berson	1945-04-21		Goussainville	Val-d'Oise		Cadre de banque	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA483	M.	André	Berthol	1939-11-10		Poitiers	Vienne		Notaire	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA492	M.	Roger	Besse	1929-08-18	2009-01-07						
PA493	M.	Jean-Yves	Besselat	1943-12-21	2012-03-23	Quimper	Finistère			Sans profession déclarée	Sans profession déclarée
PA494	M.	Jean	Besson	1948-07-01							
PA495	M.	Éric	Besson	1958-04-02		Marrakech		Maroc	Consultant en ressources humaines	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA503	M.	Jean-Louis	Bianco	1943-01-12		Neuilly-sur-Seine	Hauts-de-Seine		Conseiller d'Etat	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA504	M.	Pierre	Biarnès	1932-01-17							
PA508	Mme	Gisèle	Biémouret	1952-06-16		Fleurance	Gers	France	Assistante parlementaire	Cadres de la fonction publique, professions intellectuelles et  artistiques	Cadres et professions intellectuelles supérieures
PA509	M.	Gilbert	Biessy	1934-07-20	2015-10-13	Montferrat	Isère		Technicien	Techniciens	Professions Intermédiaires
PA513	M.	Jérôme	Bignon	1949-01-01		Neuilly-sur-Seine	Hauts-de-Seine	France	Avocat au Barreau de Paris	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
PA522	M.	Jean-Marie	Binetruy	1946-07-17		Villers-le-Lac	Doubs	France	Enseignant	Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés	Professions Intermédiaires
PA525	M.	Claude	Birraux	1946-01-19		Ambilly	Haute-Savoie		Ingénieur	Cadres d'entreprise	Cadres et professions intellectuelles supérieures
PA528	M.	Jean	Bizet	1947-08-30							
PA532	M.	Paul	Blanc	1937-01-29							
PA534	M.	Jacques	Blanc	1939-10-21		Rodez	Aveyron		Neuropsychiatre	Professions libérales et assimilés	Cadres et professions intellectuelles supérieures
